buttom up,2300,2
buttom up,3500,5
buttom up,3300,10
buttom up,4800,20
buttom up,6700,29
buttom up,29500,92
buttom up,50300,183
buttom up,94300,378
buttom up,121900,525
buttom up,193000,702
buttom up,223900,987
buttom up,231300,1093
memoization solution,1300,2
memoization solution,2300,5
memoization solution,3500,10
memoization solution,18600,20
memoization solution,7700,29
memoization solution,111300,92
memoization solution,178700,183
memoization solution,375300,378
memoization solution,269700,525
memoization solution,310800,702
memoization solution,492000,987
memoization solution,220300,1093
recursive solution,2300,2
recursive solution,2900,5
recursive solution,9700,10
recursive solution,377200,20
recursive solution,7410700,29
buttom up,2200,2
buttom up,7100,39
buttom up,23500,87
buttom up,39500,169
buttom up,72200,340
buttom up,76600,421
buttom up,103900,607
buttom up,152100,789
buttom up,168400,840
buttom up,118300,741
memoization solution,1600,2
memoization solution,42000,39
memoization solution,48700,87
memoization solution,74400,169
memoization solution,128300,340
memoization solution,75400,421
memoization solution,161300,607
memoization solution,123800,789
memoization solution,44500,840
memoization solution,1600,741
recursive solution,2900,2
recursive solution,1999100,39
buttom up,2200,2
buttom up,3200,5
buttom up,3800,10
buttom up,5800,20
buttom up,6700,29
buttom up,32700,92
buttom up,48700,183
buttom up,88900,378
buttom up,130000,525
buttom up,182100,702
buttom up,221600,987
buttom up,244100,1093
memoization solution,1900,2
memoization solution,3900,5
memoization solution,4100,10
memoization solution,20800,20
memoization solution,10200,29
memoization solution,110300,92
memoization solution,178000,183
memoization solution,362700,378
memoization solution,295000,525
memoization solution,324600,702
memoization solution,514400,987
memoization solution,204300,1093
recursive solution,2500,2
recursive solution,13200,5
recursive solution,11200,10
recursive solution,410900,20
recursive solution,7355300,29
buttom up,7100,4
buttom up,4500,16
buttom up,3900,22
buttom up,6100,29
buttom up,6700,34
buttom up,252700,1033
buttom up,31100,86
buttom up,43300,188
buttom up,60600,255
memoization solution,2600,4
memoization solution,8700,16
memoization solution,5400,22
memoization solution,4800,29
memoization solution,6100,34
memoization solution,1084700,1033
memoization solution,3300,86
memoization solution,2200,188
memoization solution,1000,255
recursive solution,4200,4
recursive solution,15700,16
recursive solution,114500,22
recursive solution,410800,29
recursive solution,1271700,34
